date,sunrise,sunset,solar_noon,day_length,civil_twilight_begin,civil_twilight_end,nautical_twilight_begin,nautical_twilight_end,astronomical_twilight_begin,astronomical_twilight_end
2017-02-23,2017-02-23 06:56:57+11:00,2017-02-23 20:10:03+11:00,2017-02-23 13:33:30+11:00,47586,2017-02-23 06:31:15+11:00,2017-02-23 20:35:46+11:00,2017-02-23 05:58:54+11:00,2017-02-23 21:08:06+11:00,2017-02-23 05:25:13+11:00,2017-02-23 21:41:48+11:00
2020-11-04,2020-11-04 06:08:08+11:00,2020-11-04 19:59:17+11:00,2020-11-04 13:03:43+11:00,49869,2020-11-04 05:41:14+11:00,2020-11-04 20:26:11+11:00,2020-11-04 05:06:53+11:00,2020-11-04 21:00:32+11:00,2020-11-04 04:30:14+11:00,2020-11-04 21:37:12+11:00
2015-11-03,2015-11-03 06:10:03+11:00,2015-11-03 19:57:22+11:00,2015-11-03 13:03:42+11:00,49639,2015-11-03 05:43:17+11:00,2015-11-03 20:24:08+11:00,2015-11-03 05:09:11+11:00,2015-11-03 20:58:14+11:00,2015-11-03 04:32:53+11:00,2015-11-03 21:34:32+11:00
2016-04-11,2016-04-11 06:41:57+10:00,2016-04-11 18:00:24+10:00,2016-04-11 12:21:10+10:00,40707,2016-04-11 06:16:53+10:00,2016-04-11 18:25:27+10:00,2016-04-11 05:46:26+10:00,2016-04-11 18:55:55+10:00,2016-04-11 05:16:03+10:00,2016-04-11 19:26:18+10:00
2018-04-28,2018-04-28 06:56:50+10:00,2018-04-28 17:38:34+10:00,2018-04-28 12:17:42+10:00,38504,2018-04-28 06:31:07+10:00,2018-04-28 18:04:17+10:00,2018-04-28 06:00:10+10:00,2018-04-28 18:35:14+10:00,2018-04-28 05:29:36+10:00,2018-04-28 19:05:48+10:00
2017-01-27,2017-01-27 06:26:45+11:00,2017-01-27 20:38:56+11:00,2017-01-27 13:32:51+11:00,51131,2017-01-27 05:58:59+11:00,2017-01-27 21:06:42+11:00,2017-01-27 05:23:10+11:00,2017-01-27 21:42:31+11:00,2017-01-27 04:44:16+11:00,2017-01-27 22:21:25+11:00
2018-08-12,2018-08-12 07:07:27+10:00,2018-08-12 17:43:04+10:00,2018-08-12 12:25:16+10:00,38137,2018-08-12 06:41:35+10:00,2018-08-12 18:08:56+10:00,2018-08-12 06:10:30+10:00,2018-08-12 18:40:01+10:00,2018-08-12 05:39:51+10:00,2018-08-12 19:10:40+10:00
2016-03-26,2016-03-26 07:27:27+11:00,2016-03-26 19:24:08+11:00,2016-03-26 13:25:48+11:00,43001,2016-03-26 07:02:39+11:00,2016-03-26 19:48:57+11:00,2016-03-26 06:32:11+11:00,2016-03-26 20:19:25+11:00,2016-03-26 06:01:25+11:00,2016-03-26 20:50:10+11:00
2016-01-09,2016-01-09 06:06:39+11:00,2016-01-09 20:47:06+11:00,2016-01-09 13:26:52+11:00,52827,2016-01-09 05:37:27+11:00,2016-01-09 21:16:18+11:00,2016-01-09 04:59:09+11:00,2016-01-09 21:54:36+11:00,2016-01-09 04:16:16+11:00,2016-01-09 22:37:29+11:00
2018-08-30,2018-08-30 06:43:39+10:00,2018-08-30 17:58:09+10:00,2018-08-30 12:20:54+10:00,40470,2018-08-30 06:18:32+10:00,2018-08-30 18:23:16+10:00,2018-08-30 05:48:03+10:00,2018-08-30 18:53:45+10:00,2018-08-30 05:17:40+10:00,2018-08-30 19:24:08+10:00
2016-08-18,2016-08-18 06:59:27+10:00,2016-08-18 17:48:31+10:00,2016-08-18 12:23:59+10:00,38944,2016-08-18 06:33:54+10:00,2016-08-18 18:14:04+10:00,2016-08-18 06:03:05+10:00,2016-08-18 18:44:53+10:00,2016-08-18 05:32:35+10:00,2016-08-18 19:15:23+10:00
2018-09-06,2018-09-06 06:33:19+10:00,2018-09-06 18:03:58+10:00,2018-09-06 12:18:39+10:00,41439,2018-09-06 06:08:23+10:00,2018-09-06 18:28:55+10:00,2018-09-06 05:37:59+10:00,2018-09-06 18:59:18+10:00,2018-09-06 05:07:33+10:00,2018-09-06 19:29:45+10:00
2017-08-07,2017-08-07 07:12:49+10:00,2017-08-07 17:39:05+10:00,2017-08-07 12:25:57+10:00,37576,2017-08-07 06:46:42+10:00,2017-08-07 18:05:12+10:00,2017-08-07 06:15:24+10:00,2017-08-07 18:36:30+10:00,2017-08-07 05:44:36+10:00,2017-08-07 19:07:17+10:00
2017-10-16,2017-10-16 06:32:05+11:00,2017-10-16 19:39:24+11:00,2017-10-16 13:05:44+11:00,47239,2017-10-16 06:06:30+11:00,2017-10-16 20:04:59+11:00,2017-10-16 05:34:24+11:00,2017-10-16 20:37:05+11:00,2017-10-16 05:01:03+11:00,2017-10-16 21:10:26+11:00
2016-11-08,2016-11-08 06:04:10+11:00,2016-11-08 20:03:37+11:00,2016-11-08 13:03:53+11:00,50367,2016-11-08 05:36:57+11:00,2016-11-08 20:30:50+11:00,2016-11-08 05:02:03+11:00,2016-11-08 21:05:44+11:00,2016-11-08 04:24:34+11:00,2016-11-08 21:43:13+11:00
2021-05-21,2021-05-21 07:16:58+10:00,2021-05-21 17:16:30+10:00,2021-05-21 12:16:44+10:00,35972,2021-05-21 06:50:00+10:00,2021-05-21 17:43:28+10:00,2021-05-21 06:17:56+10:00,2021-05-21 18:15:33+10:00,2021-05-21 05:46:35+10:00,2021-05-21 18:46:53+10:00
2016-05-28,2016-05-28 07:22:26+10:00,2016-05-28 17:12:26+10:00,2016-05-28 12:17:26+10:00,35400,2016-05-28 06:55:06+10:00,2016-05-28 17:39:45+10:00,2016-05-28 06:22:42+10:00,2016-05-28 18:12:09+10:00,2016-05-28 05:51:07+10:00,2016-05-28 18:43:45+10:00
2017-10-29,2017-10-29 06:15:09+11:00,2017-10-29 19:52:35+11:00,2017-10-29 13:03:52+11:00,49046,2017-10-29 05:48:44+11:00,2017-10-29 20:19:00+11:00,2017-10-29 05:15:13+11:00,2017-10-29 20:52:32+11:00,2017-10-29 04:39:46+11:00,2017-10-29 21:27:59+11:00
2018-08-05,2018-08-05 07:15:11+10:00,2018-08-05 17:37:13+10:00,2018-08-05 12:26:12+10:00,37322,2018-08-05 06:48:56+10:00,2018-08-05 18:03:28+10:00,2018-08-05 06:17:32+10:00,2018-08-05 18:34:52+10:00,2018-08-05 05:46:40+10:00,2018-08-05 19:05:44+10:00
2020-07-13,2020-07-13 07:31:54+10:00,2020-07-13 17:19:58+10:00,2020-07-13 12:25:56+10:00,35284,2020-07-13 07:04:30+10:00,2020-07-13 17:47:22+10:00,2020-07-13 06:32:01+10:00,2020-07-13 18:19:51+10:00,2020-07-13 06:00:23+10:00,2020-07-13 18:51:29+10:00
2017-12-17,2017-12-17 05:51:20+11:00,2017-12-17 20:40:57+11:00,2017-12-17 13:16:09+11:00,53377,2017-12-17 05:21:36+11:00,2017-12-17 21:10:41+11:00,2017-12-17 04:42:22+11:00,2017-12-17 21:49:55+11:00,2017-12-17 03:57:52+11:00,2017-12-17 22:34:25+11:00
2016-04-08,2016-04-08 06:39:15+10:00,2016-04-08 18:04:43+10:00,2016-04-08 12:21:59+10:00,41128,2016-04-08 06:14:16+10:00,2016-04-08 18:29:42+10:00,2016-04-08 05:43:51+10:00,2016-04-08 19:00:07+10:00,2016-04-08 05:13:26+10:00,2016-04-08 19:30:31+10:00
2017-06-13,2017-06-13 07:31:34+10:00,2017-06-13 17:08:47+10:00,2017-06-13 12:20:10+10:00,34633,2017-06-13 07:03:43+10:00,2017-06-13 17:36:38+10:00,2017-06-13 06:30:50+10:00,2017-06-13 18:09:31+10:00,2017-06-13 05:58:53+10:00,2017-06-13 18:41:28+10:00
2014-11-22,2014-11-22 05:53:59+11:00,2014-11-22 20:18:19+11:00,2014-11-22 13:06:09+11:00,51860,2014-11-22 05:25:38+11:00,2014-11-22 20:46:39+11:00,2014-11-22 04:48:49+11:00,2014-11-22 21:23:28+11:00,2014-11-22 04:08:21+11:00,2014-11-22 22:03:56+11:00
2014-08-25,2014-08-25 06:50:46+10:00,2014-08-25 17:53:57+10:00,2014-08-25 12:22:21+10:00,39791,2014-08-25 06:25:29+10:00,2014-08-25 18:19:14+10:00,2014-08-25 05:54:53+10:00,2014-08-25 18:49:50+10:00,2014-08-25 05:24:28+10:00,2014-08-25 19:20:15+10:00
2018-09-19,2018-09-19 06:13:18+10:00,2018-09-19 18:14:51+10:00,2018-09-19 12:14:04+10:00,43293,2018-09-19 05:48:29+10:00,2018-09-19 18:39:40+10:00,2018-09-19 05:17:58+10:00,2018-09-19 19:10:11+10:00,2018-09-19 04:47:07+10:00,2018-09-19 19:41:02+10:00
2016-12-21,2016-12-21 05:53:06+11:00,2016-12-21 20:43:23+11:00,2016-12-21 13:18:14+11:00,53417,2016-12-21 05:23:20+11:00,2016-12-21 21:13:09+11:00,2016-12-21 04:44:01+11:00,2016-12-21 21:52:27+11:00,2016-12-21 03:59:25+11:00,2016-12-21 22:37:04+11:00
2014-07-21,2014-07-21 07:27:52+10:00,2014-07-21 17:25:14+10:00,2014-07-21 12:26:33+10:00,35842,2014-07-21 07:00:49+10:00,2014-07-21 17:52:17+10:00,2014-07-21 06:28:40+10:00,2014-07-21 18:24:26+10:00,2014-07-21 05:57:16+10:00,2014-07-21 18:55:49+10:00
2015-11-15,2015-11-15 05:58:47+11:00,2015-11-15 20:10:27+11:00,2015-11-15 13:04:37+11:00,51100,2015-11-15 05:31:02+11:00,2015-11-15 20:38:12+11:00,2015-11-15 04:55:15+11:00,2015-11-15 21:13:59+11:00,2015-11-15 04:16:24+11:00,2015-11-15 21:52:50+11:00
2016-08-08,2016-08-08 07:11:27+10:00,2016-08-08 17:40:07+10:00,2016-08-08 12:25:47+10:00,37720,2016-08-08 06:45:24+10:00,2016-08-08 18:06:10+10:00,2016-08-08 06:14:10+10:00,2016-08-08 18:37:24+10:00,2016-08-08 05:43:25+10:00,2016-08-08 19:08:10+10:00
2021-11-17,2021-11-17 05:56:54+11:00,2021-11-17 20:13:14+11:00,2021-11-17 13:05:04+11:00,51380,2021-11-17 05:28:56+11:00,2021-11-17 20:41:11+11:00,2021-11-17 04:52:48+11:00,2021-11-17 21:17:20+11:00,2021-11-17 04:13:23+11:00,2021-11-17 21:56:45+11:00
2017-01-14,2017-01-14 06:12:24+11:00,2017-01-14 20:45:52+11:00,2017-01-14 13:29:08+11:00,52408,2017-01-14 05:43:36+11:00,2017-01-14 21:14:40+11:00,2017-01-14 05:05:58+11:00,2017-01-14 21:52:18+11:00,2017-01-14 04:24:12+11:00,2017-01-14 22:34:04+11:00
2018-01-14,2018-01-14 06:12:09+11:00,2018-01-14 20:45:56+11:00,2018-01-14 13:29:03+11:00,52427,2018-01-14 05:43:20+11:00,2018-01-14 21:14:45+11:00,2018-01-14 05:05:40+11:00,2018-01-14 21:52:25+11:00,2018-01-14 04:23:51+11:00,2018-01-14 22:34:15+11:00
2015-09-23,2015-09-23 06:07:29+10:00,2015-09-23 18:18:01+10:00,2015-09-23 12:12:45+10:00,43832,2015-09-23 05:42:38+10:00,2015-09-23 18:42:52+10:00,2015-09-23 05:12:01+10:00,2015-09-23 19:13:29+10:00,2015-09-23 04:40:58+10:00,2015-09-23 19:44:32+10:00
2021-01-29,2021-01-29 06:29:04+11:00,2021-01-29 20:37:22+11:00,2021-01-29 13:33:13+11:00,50898,2021-01-29 06:01:29+11:00,2021-01-29 21:04:57+11:00,2021-01-29 05:25:57+11:00,2021-01-29 21:40:29+11:00,2021-01-29 04:47:30+11:00,2021-01-29 22:18:56+11:00
2015-10-08,2015-10-08 06:44:27+11:00,2015-10-08 19:31:19+11:00,2015-10-08 13:07:53+11:00,46012,2015-10-08 06:19:14+11:00,2015-10-08 19:56:31+11:00,2015-10-08 05:47:51+11:00,2015-10-08 20:27:55+11:00,2015-10-08 05:15:33+11:00,2015-10-08 21:00:13+11:00
2014-09-29,2014-09-29 05:57:47+10:00,2014-09-29 18:23:26+10:00,2014-09-29 12:10:36+10:00,44739,2014-09-29 05:32:50+10:00,2014-09-29 18:48:23+10:00,2014-09-29 05:01:58+10:00,2014-09-29 19:19:15+10:00,2014-09-29 04:30:29+10:00,2014-09-29 19:50:44+10:00
2021-10-21,2021-10-21 06:25:13+11:00,2021-10-21 19:44:22+11:00,2021-10-21 13:04:48+11:00,47949,2021-10-21 05:59:20+11:00,2021-10-21 20:10:15+11:00,2021-10-21 05:26:44+11:00,2021-10-21 20:42:51+11:00,2021-10-21 04:52:38+11:00,2021-10-21 21:16:57+11:00
2020-12-29,2020-12-29 05:57:59+11:00,2020-12-29 20:46:25+11:00,2020-12-29 13:22:12+11:00,53306,2020-12-29 05:28:20+11:00,2020-12-29 21:16:04+11:00,2020-12-29 04:49:13+11:00,2020-12-29 21:55:11+11:00,2020-12-29 04:04:57+11:00,2020-12-29 22:39:27+11:00
2018-08-03,2018-08-03 07:17:11+10:00,2018-08-03 17:35:34+10:00,2018-08-03 12:26:23+10:00,37103,2018-08-03 06:50:50+10:00,2018-08-03 18:01:55+10:00,2018-08-03 06:19:20+10:00,2018-08-03 18:33:25+10:00,2018-08-03 05:48:24+10:00,2018-08-03 19:04:21+10:00
2018-02-28,2018-02-28 07:01:55+11:00,2018-02-28 20:03:33+11:00,2018-02-28 13:32:44+11:00,46898,2018-02-28 06:36:28+11:00,2018-02-28 20:29:00+11:00,2018-02-28 06:04:35+11:00,2018-02-28 21:00:53+11:00,2018-02-28 05:31:33+11:00,2018-02-28 21:33:55+11:00
2016-09-19,2016-09-19 06:12:33+10:00,2016-09-19 18:15:15+10:00,2016-09-19 12:13:54+10:00,43362,2016-09-19 05:47:43+10:00,2016-09-19 18:40:05+10:00,2016-09-19 05:17:12+10:00,2016-09-19 19:10:36+10:00,2016-09-19 04:46:19+10:00,2016-09-19 19:41:29+10:00
2018-07-19,2018-07-19 07:29:05+10:00,2018-07-19 17:23:47+10:00,2018-07-19 12:26:26+10:00,35682,2018-07-19 07:01:56+10:00,2018-07-19 17:50:56+10:00,2018-07-19 06:29:42+10:00,2018-07-19 18:23:11+10:00,2018-07-19 05:58:14+10:00,2018-07-19 18:54:38+10:00
2020-02-24,2020-02-24 06:57:14+11:00,2020-02-24 20:09:40+11:00,2020-02-24 13:33:27+11:00,47546,2020-02-24 06:31:33+11:00,2020-02-24 20:35:22+11:00,2020-02-24 05:59:14+11:00,2020-02-24 21:07:41+11:00,2020-02-24 05:25:35+11:00,2020-02-24 21:41:20+11:00
2020-09-22,2020-09-22 06:07:49+10:00,2020-09-22 18:17:51+10:00,2020-09-22 12:12:50+10:00,43802,2020-09-22 05:42:58+10:00,2020-09-22 18:42:41+10:00,2020-09-22 05:12:22+10:00,2020-09-22 19:13:18+10:00,2020-09-22 04:41:19+10:00,2020-09-22 19:44:20+10:00
2016-12-22,2016-12-22 05:53:36+11:00,2016-12-22 20:43:52+11:00,2016-12-22 13:18:44+11:00,53416,2016-12-22 05:23:50+11:00,2016-12-22 21:13:38+11:00,2016-12-22 04:44:31+11:00,2016-12-22 21:52:57+11:00,2016-12-22 03:59:55+11:00,2016-12-22 22:37:33+11:00
2016-09-30,2016-09-30 05:55:26+10:00,2016-09-30 18:24:46+10:00,2016-09-30 12:10:06+10:00,44960,2016-09-30 05:30:28+10:00,2016-09-30 18:49:45+10:00,2016-09-30 04:59:31+10:00,2016-09-30 19:20:42+10:00,2016-09-30 04:27:54+10:00,2016-09-30 19:52:18+10:00
2021-07-13,2021-07-13 07:32:00+10:00,2021-07-13 17:19:49+10:00,2021-07-13 12:25:55+10:00,35269,2021-07-13 07:04:35+10:00,2021-07-13 17:47:14+10:00,2021-07-13 06:32:06+10:00,2021-07-13 18:19:43+10:00,2021-07-13 06:00:28+10:00,2021-07-13 18:51:21+10:00
2016-03-24,2016-03-24 07:25:37+11:00,2016-03-24 19:27:11+11:00,2016-03-24 13:26:24+11:00,43294,2016-03-24 07:00:48+11:00,2016-03-24 19:52:00+11:00,2016-03-24 06:30:18+11:00,2016-03-24 20:22:30+11:00,2016-03-24 05:59:27+11:00,2016-03-24 20:53:21+11:00
2020-03-27,2020-03-27 07:28:24+11:00,2020-03-27 19:22:34+11:00,2020-03-27 13:25:29+11:00,42850,2020-03-27 07:03:35+11:00,2020-03-27 19:47:23+11:00,2020-03-27 06:33:08+11:00,2020-03-27 20:17:50+11:00,2020-03-27 06:02:25+11:00,2020-03-27 20:48:33+11:00
2021-08-10,2021-08-10 07:09:27+10:00,2021-08-10 17:41:38+10:00,2021-08-10 12:25:32+10:00,37931,2021-08-10 06:43:30+10:00,2021-08-10 18:07:35+10:00,2021-08-10 06:12:20+10:00,2021-08-10 18:38:44+10:00,2021-08-10 05:41:38+10:00,2021-08-10 19:09:27+10:00
2017-04-15,2017-04-15 06:45:20+10:00,2017-04-15 17:55:07+10:00,2017-04-15 12:20:14+10:00,40187,2017-04-15 06:20:09+10:00,2017-04-15 18:20:18+10:00,2017-04-15 05:49:38+10:00,2017-04-15 18:50:49+10:00,2017-04-15 05:19:14+10:00,2017-04-15 19:21:13+10:00
2021-01-06,2021-01-06 06:04:34+11:00,2021-01-06 20:47:15+11:00,2021-01-06 13:25:55+11:00,52961,2021-01-06 05:35:15+11:00,2021-01-06 21:16:35+11:00,2021-01-06 04:56:43+11:00,2021-01-06 21:55:06+11:00,2021-01-06 04:13:28+11:00,2021-01-06 22:38:22+11:00
2018-09-28,2018-09-28 05:59:17+10:00,2018-09-28 18:22:35+10:00,2018-09-28 12:10:56+10:00,44598,2018-09-28 05:34:21+10:00,2018-09-28 18:47:31+10:00,2018-09-28 05:03:32+10:00,2018-09-28 19:18:20+10:00,2018-09-28 04:32:07+10:00,2018-09-28 19:49:45+10:00
2016-06-15,2016-06-15 07:32:27+10:00,2016-06-15 17:08:51+10:00,2016-06-15 12:20:39+10:00,34584,2016-06-15 07:04:34+10:00,2016-06-15 17:36:44+10:00,2016-06-15 06:31:39+10:00,2016-06-15 18:09:39+10:00,2016-06-15 05:59:40+10:00,2016-06-15 18:41:37+10:00
2014-09-09,2014-09-09 06:28:49+10:00,2014-09-09 18:06:26+10:00,2014-09-09 12:17:38+10:00,41857,2014-09-09 06:03:56+10:00,2014-09-09 18:31:19+10:00,2014-09-09 05:33:32+10:00,2014-09-09 19:01:43+10:00,2014-09-09 05:03:02+10:00,2014-09-09 19:32:13+10:00
2018-09-04,2018-09-04 06:36:19+10:00,2018-09-04 18:02:19+10:00,2018-09-04 12:19:19+10:00,41160,2018-09-04 06:11:20+10:00,2018-09-04 18:27:17+10:00,2018-09-04 05:40:55+10:00,2018-09-04 18:57:42+10:00,2018-09-04 05:10:30+10:00,2018-09-04 19:28:07+10:00
2017-09-13,2017-09-13 06:22:15+10:00,2017-09-13 18:10:00+10:00,2017-09-13 12:16:08+10:00,42465,2017-09-13 05:57:25+10:00,2017-09-13 18:34:51+10:00,2017-09-13 05:27:00+10:00,2017-09-13 19:05:15+10:00,2017-09-13 04:56:23+10:00,2017-09-13 19:35:52+10:00
2021-07-25,2021-07-25 07:24:50+10:00,2021-07-25 17:28:33+10:00,2021-07-25 12:26:41+10:00,36223,2021-07-25 06:58:01+10:00,2021-07-25 17:55:22+10:00,2021-07-25 06:26:04+10:00,2021-07-25 18:27:19+10:00,2021-07-25 05:54:50+10:00,2021-07-25 18:58:33+10:00
2017-06-12,2017-06-12 07:31:08+10:00,2017-06-12 17:08:48+10:00,2017-06-12 12:19:58+10:00,34660,2017-06-12 07:03:18+10:00,2017-06-12 17:36:38+10:00,2017-06-12 06:30:26+10:00,2017-06-12 18:09:30+10:00,2017-06-12 05:58:30+10:00,2017-06-12 18:41:26+10:00
2016-05-01,2016-05-01 06:59:58+10:00,2016-05-01 17:34:30+10:00,2016-05-01 12:17:14+10:00,38072,2016-05-01 06:34:04+10:00,2016-05-01 18:00:24+10:00,2016-05-01 06:02:58+10:00,2016-05-01 18:31:30+10:00,2016-05-01 05:32:18+10:00,2016-05-01 19:02:10+10:00
2015-11-26,2015-11-26 05:52:09+11:00,2015-11-26 20:22:16+11:00,2015-11-26 13:07:13+11:00,52207,2015-11-26 05:23:31+11:00,2015-11-26 20:50:55+11:00,2015-11-26 04:46:12+11:00,2015-11-26 21:28:14+11:00,2015-11-26 04:04:55+11:00,2015-11-26 22:09:31+11:00
2015-10-23,2015-10-23 06:23:18+11:00,2015-10-23 19:45:51+11:00,2015-10-23 13:04:34+11:00,48153,2015-10-23 05:57:19+11:00,2015-10-23 20:11:49+11:00,2015-10-23 05:24:34+11:00,2015-10-23 20:44:35+11:00,2015-10-23 04:50:14+11:00,2015-10-23 21:18:54+11:00
2018-06-30,2018-06-30 07:35:00+10:00,2018-06-30 17:12:29+10:00,2018-06-30 12:23:45+10:00,34649,2018-06-30 07:07:10+10:00,2018-06-30 17:40:19+10:00,2018-06-30 06:34:17+10:00,2018-06-30 18:13:12+10:00,2018-06-30 06:02:21+10:00,2018-06-30 18:45:09+10:00
2016-07-14,2016-07-14 07:31:28+10:00,2016-07-14 17:20:36+10:00,2016-07-14 12:26:02+10:00,35348,2016-07-14 07:04:06+10:00,2016-07-14 17:47:58+10:00,2016-07-14 06:31:40+10:00,2016-07-14 18:20:24+10:00,2016-07-14 06:00:03+10:00,2016-07-14 18:52:01+10:00
2018-05-07,2018-05-07 07:04:52+10:00,2018-05-07 17:28:35+10:00,2018-05-07 12:16:43+10:00,37423,2018-05-07 06:38:41+10:00,2018-05-07 17:54:46+10:00,2018-05-07 06:07:19+10:00,2018-05-07 18:26:07+10:00,2018-05-07 05:36:29+10:00,2018-05-07 18:56:58+10:00
2020-07-15,2020-07-15 07:30:59+10:00,2020-07-15 17:21:19+10:00,2020-07-15 12:26:09+10:00,35420,2020-07-15 07:03:40+10:00,2020-07-15 17:48:38+10:00,2020-07-15 06:31:16+10:00,2020-07-15 18:21:02+10:00,2020-07-15 05:59:42+10:00,2020-07-15 18:52:36+10:00
2018-06-26,2018-06-26 07:34:53+10:00,2018-06-26 17:10:58+10:00,2018-06-26 12:22:55+10:00,34565,2018-06-26 07:06:59+10:00,2018-06-26 17:38:52+10:00,2018-06-26 06:34:03+10:00,2018-06-26 18:11:48+10:00,2018-06-26 06:02:04+10:00,2018-06-26 18:43:47+10:00
2014-09-06,2014-09-06 06:33:22+10:00,2014-09-06 18:03:56+10:00,2014-09-06 12:18:39+10:00,41434,2014-09-06 06:08:25+10:00,2014-09-06 18:28:53+10:00,2014-09-06 05:38:02+10:00,2014-09-06 18:59:16+10:00,2014-09-06 05:07:35+10:00,2014-09-06 19:29:43+10:00
2017-11-09,2017-11-09 06:03:27+11:00,2017-11-09 20:04:26+11:00,2017-11-09 13:03:57+11:00,50459,2017-11-09 05:36:10+11:00,2017-11-09 20:31:44+11:00,2017-11-09 05:01:10+11:00,2017-11-09 21:06:44+11:00,2017-11-09 04:23:31+11:00,2017-11-09 21:44:22+11:00
2018-04-19,2018-04-19 06:48:43+10:00,2018-04-19 17:50:00+10:00,2018-04-19 12:19:22+10:00,39677,2018-04-19 06:23:24+10:00,2018-04-19 18:15:19+10:00,2018-04-19 05:52:47+10:00,2018-04-19 18:45:56+10:00,2018-04-19 05:22:22+10:00,2018-04-19 19:16:21+10:00
2021-02-09,2021-02-09 06:41:38+11:00,2021-02-09 20:27:00+11:00,2021-02-09 13:34:19+11:00,49522,2021-02-09 06:14:57+11:00,2021-02-09 20:53:41+11:00,2021-02-09 05:40:58+11:00,2021-02-09 21:27:40+11:00,2021-02-09 05:04:50+11:00,2021-02-09 22:03:48+11:00
2016-12-12,2016-12-12 05:50:05+11:00,2016-12-12 20:37:39+11:00,2016-12-12 13:13:52+11:00,53254,2016-12-12 05:20:29+11:00,2016-12-12 21:07:15+11:00,2016-12-12 04:41:27+11:00,2016-12-12 21:46:17+11:00,2016-12-12 03:57:21+11:00,2016-12-12 22:30:23+11:00
2021-08-25,2021-08-25 06:50:21+10:00,2021-08-25 17:54:13+10:00,2021-08-25 12:22:17+10:00,39832,2021-08-25 06:25:05+10:00,2021-08-25 18:19:29+10:00,2021-08-25 05:54:29+10:00,2021-08-25 18:50:05+10:00,2021-08-25 05:24:05+10:00,2021-08-25 19:20:29+10:00
2017-03-20,2017-03-20 07:21:41+11:00,2017-03-20 19:33:39+11:00,2017-03-20 13:27:40+11:00,43918,2017-03-20 06:56:51+11:00,2017-03-20 19:58:29+11:00,2017-03-20 06:26:13+11:00,2017-03-20 20:29:07+11:00,2017-03-20 05:55:07+11:00,2017-03-20 21:00:13+11:00
2015-07-26,2015-07-26 07:24:29+10:00,2015-07-26 17:28:53+10:00,2015-07-26 12:26:41+10:00,36264,2015-07-26 06:57:41+10:00,2015-07-26 17:55:41+10:00,2015-07-26 06:25:46+10:00,2015-07-26 18:27:36+10:00,2015-07-26 05:54:32+10:00,2015-07-26 18:58:50+10:00
2020-03-03,2020-03-03 07:05:30+11:00,2020-03-03 19:58:34+11:00,2020-03-03 13:32:02+11:00,46384,2020-03-03 06:40:13+11:00,2020-03-03 20:23:52+11:00,2020-03-03 06:08:37+11:00,2020-03-03 20:55:27+11:00,2020-03-03 05:36:02+11:00,2020-03-03 21:28:02+11:00
2017-05-08,2017-05-08 07:05:58+10:00,2017-05-08 17:27:20+10:00,2017-05-08 12:16:39+10:00,37282,2017-05-08 06:39:42+10:00,2017-05-08 17:53:35+10:00,2017-05-08 06:08:17+10:00,2017-05-08 18:25:00+10:00,2017-05-08 05:37:24+10:00,2017-05-08 18:55:53+10:00
2021-10-07,2021-10-07 06:45:07+11:00,2021-10-07 19:30:54+11:00,2021-10-07 13:08:01+11:00,45947,2021-10-07 06:19:56+11:00,2021-10-07 19:56:05+11:00,2021-10-07 05:48:35+11:00,2021-10-07 20:27:27+11:00,2021-10-07 05:16:19+11:00,2021-10-07 20:59:42+11:00
2017-04-28,2017-04-28 06:57:03+10:00,2017-04-28 17:38:17+10:00,2017-04-28 12:17:40+10:00,38474,2017-04-28 06:31:19+10:00,2017-04-28 18:04:00+10:00,2017-04-28 06:00:22+10:00,2017-04-28 18:34:58+10:00,2017-04-28 05:29:47+10:00,2017-04-28 19:05:33+10:00
2016-04-13,2016-04-13 06:43:45+10:00,2016-04-13 17:57:34+10:00,2016-04-13 12:20:40+10:00,40429,2016-04-13 06:18:38+10:00,2016-04-13 18:22:41+10:00,2016-04-13 05:48:09+10:00,2016-04-13 18:53:10+10:00,2016-04-13 05:17:45+10:00,2016-04-13 19:23:34+10:00
2021-01-11,2021-01-11 06:09:22+11:00,2021-01-11 20:46:38+11:00,2021-01-11 13:28:00+11:00,52636,2021-01-11 05:40:21+11:00,2021-01-11 21:15:39+11:00,2021-01-11 05:02:21+11:00,2021-01-11 21:53:38+11:00,2021-01-11 04:19:59+11:00,2021-01-11 22:36:01+11:00
2015-05-16,2015-05-16 07:12:25+10:00,2015-05-16 17:20:35+10:00,2015-05-16 12:16:30+10:00,36490,2015-05-16 06:45:44+10:00,2015-05-16 17:47:15+10:00,2015-05-16 06:13:56+10:00,2015-05-16 18:19:03+10:00,2015-05-16 05:42:48+10:00,2015-05-16 18:50:11+10:00
2016-08-23,2016-08-23 06:52:49+10:00,2016-08-23 17:52:42+10:00,2016-08-23 12:22:46+10:00,39593,2016-08-23 06:27:28+10:00,2016-08-23 18:18:03+10:00,2016-08-23 05:56:49+10:00,2016-08-23 18:48:42+10:00,2016-08-23 05:26:24+10:00,2016-08-23 19:19:07+10:00
2017-12-14,2017-12-14 05:50:27+11:00,2017-12-14 20:38:56+11:00,2017-12-14 13:14:42+11:00,53309,2017-12-14 05:20:48+11:00,2017-12-14 21:08:36+11:00,2017-12-14 04:41:40+11:00,2017-12-14 21:47:43+11:00,2017-12-14 03:57:24+11:00,2017-12-14 22:32:00+11:00
